Seed,Acurácia,Precisão,Recall,F1-Score,TP,FP,TN,FN,Suporte(P),Suporte(N)
1,0.9467455621301775,0.9418604651162791,0.9529411764705882,0.9473684210526315,81.0,4.0,79.0,5.0,85.0,84.0
42,0.9408284023668639,0.9625,0.9166666666666666,0.9390243902439024,77.0,7.0,82.0,3.0,84.0,85.0
30,0.9230769230769231,0.95,0.8941176470588236,0.9212121212121213,76.0,9.0,80.0,4.0,85.0,84.0
55,0.9644970414201184,0.9876543209876543,0.9411764705882353,0.963855421686747,80.0,5.0,83.0,1.0,85.0,84.0
60,0.9349112426035503,0.9404761904761905,0.9294117647058824,0.9349112426035503,79.0,6.0,79.0,5.0,85.0,84.0
70,0.9112426035502958,0.9259259259259259,0.8928571428571429,0.9090909090909091,75.0,9.0,79.0,6.0,84.0,85.0
80,0.9171597633136095,0.9493670886075949,0.8823529411764706,0.9146341463414634,75.0,10.0,80.0,4.0,85.0,84.0
99,0.9408284023668639,0.9213483146067416,0.9647058823529412,0.9425287356321839,82.0,3.0,77.0,7.0,85.0,84.0
11,0.9349112426035503,0.9404761904761905,0.9294117647058824,0.9349112426035503,79.0,6.0,79.0,5.0,85.0,84.0
32,0.8875739644970414,0.8837209302325582,0.8941176470588236,0.8888888888888888,76.0,9.0,74.0,10.0,85.0,84.0
15,0.9526627218934911,0.9523809523809523,0.9523809523809523,0.9523809523809523,80.0,4.0,81.0,4.0,84.0,85.0
19,0.9467455621301775,0.9130434782608695,0.9882352941176471,0.9491525423728814,84.0,1.0,76.0,8.0,85.0,84.0
44,0.9467455621301775,0.9518072289156626,0.9404761904761905,0.9461077844311377,79.0,5.0,81.0,4.0,84.0,85.0
66,0.9704142011834319,0.9759036144578314,0.9642857142857143,0.9700598802395209,81.0,3.0,83.0,2.0,84.0,85.0
45,0.9408284023668639,0.987012987012987,0.8941176470588236,0.9382716049382716,76.0,9.0,83.0,1.0,85.0,84.0
33,0.9230769230769231,0.9493670886075949,0.8928571428571429,0.9202453987730062,75.0,9.0,81.0,4.0,84.0,85.0
666,0.8994082840236687,0.9466666666666667,0.8452380952380952,0.8930817610062893,71.0,13.0,81.0,4.0,84.0,85.0
23,0.8875739644970414,0.8837209302325582,0.8941176470588236,0.8888888888888888,76.0,9.0,74.0,10.0,85.0,84.0
98,0.8994082840236687,0.9466666666666667,0.8452380952380952,0.8930817610062893,71.0,13.0,81.0,4.0,84.0,85.0
90,0.9526627218934911,0.9873417721518988,0.9176470588235294,0.9512195121951219,78.0,7.0,83.0,1.0,85.0,84.0
MÉDIA,0.9310650887573964,0.9448620405891412,0.9166176470588235,0.9299457802794155,77.55,7.05,79.8,4.6,84.6,84.4
TOTAL,18.621301775147927,18.897240811782826,18.33235294117647,18.59891560558831,1551.0,141.0,1596.0,92.0,1692.0,1688.0
