Seed,Acurácia,Precisão,Recall,F1-Score,TP,FP,TN,FN,Suporte(P),Suporte(N)
1,0.9704142011834319,0.9545454545454546,0.9882352941176471,0.9710982658959537,84.0,1.0,80.0,4.0,85.0,84.0
42,0.9644970414201184,0.9534883720930233,0.9761904761904762,0.9647058823529412,82.0,2.0,81.0,4.0,84.0,85.0
30,0.9230769230769231,0.9615384615384616,0.8823529411764706,0.9202453987730062,75.0,10.0,81.0,3.0,85.0,84.0
55,0.9526627218934911,0.9873417721518988,0.9176470588235294,0.9512195121951219,78.0,7.0,83.0,1.0,85.0,84.0
60,0.9349112426035503,0.9625,0.9058823529411765,0.9333333333333333,77.0,8.0,81.0,3.0,85.0,84.0
70,0.8757396449704142,0.92,0.8214285714285714,0.8679245283018868,69.0,15.0,79.0,6.0,84.0,85.0
80,0.9171597633136095,0.9493670886075949,0.8823529411764706,0.9146341463414634,75.0,10.0,80.0,4.0,85.0,84.0
99,0.9171597633136095,0.898876404494382,0.9411764705882353,0.9195402298850575,80.0,5.0,75.0,9.0,85.0,84.0
11,0.9585798816568047,0.9534883720930233,0.9647058823529412,0.9590643274853801,82.0,3.0,80.0,4.0,85.0,84.0
32,0.8816568047337278,0.891566265060241,0.8705882352941177,0.8809523809523809,74.0,11.0,75.0,9.0,85.0,84.0
15,0.9349112426035503,0.9506172839506173,0.9166666666666666,0.9333333333333333,77.0,7.0,81.0,4.0,84.0,85.0
19,0.9467455621301775,0.9222222222222223,0.9764705882352941,0.9485714285714286,83.0,2.0,77.0,7.0,85.0,84.0
44,0.8994082840236687,0.9240506329113924,0.8690476190476191,0.8957055214723927,73.0,11.0,79.0,6.0,84.0,85.0
66,0.9408284023668639,0.9302325581395349,0.9523809523809523,0.9411764705882353,80.0,4.0,79.0,6.0,84.0,85.0
45,0.9171597633136095,0.961038961038961,0.8705882352941177,0.9135802469135802,74.0,11.0,81.0,3.0,85.0,84.0
33,0.9408284023668639,0.9404761904761905,0.9404761904761905,0.9404761904761905,79.0,5.0,80.0,5.0,84.0,85.0
666,0.9171597633136095,0.9375,0.8928571428571429,0.9146341463414634,75.0,9.0,80.0,5.0,84.0,85.0
23,0.9349112426035503,0.9204545454545454,0.9529411764705882,0.9364161849710982,81.0,4.0,77.0,7.0,85.0,84.0
98,0.8875739644970414,0.9333333333333333,0.8333333333333334,0.8805031446540881,70.0,14.0,80.0,5.0,84.0,85.0
90,0.9349112426035503,0.9743589743589743,0.8941176470588236,0.9325153374233128,76.0,9.0,82.0,2.0,85.0,84.0
MÉDIA,0.9275147928994084,0.9413498446234925,0.9124719887955182,0.9259815005130825,77.2,7.4,79.55,4.85,84.6,84.4
TOTAL,18.550295857988168,18.82699689246985,18.249439775910364,18.51963001026165,1544.0,148.0,1591.0,97.0,1692.0,1688.0
