Seed,Acurácia,Precisão,Recall,F1-Score,TP,FP,TN,FN,Suporte(P),Suporte(N)
1,0.9585798816568047,0.975609756097561,0.9411764705882353,0.9580838323353293,80.0,5.0,82.0,2.0,85.0,84.0
42,0.9704142011834319,0.9759036144578314,0.9642857142857143,0.9700598802395209,81.0,3.0,83.0,2.0,84.0,85.0
30,0.9467455621301775,0.9318181818181818,0.9647058823529412,0.9479768786127167,82.0,3.0,78.0,6.0,85.0,84.0
55,0.9644970414201184,0.9759036144578314,0.9529411764705882,0.9642857142857143,81.0,4.0,82.0,2.0,85.0,84.0
60,0.9704142011834319,0.9651162790697675,0.9764705882352941,0.9707602339181286,83.0,2.0,81.0,3.0,85.0,84.0
70,0.9349112426035503,0.9294117647058824,0.9404761904761905,0.9349112426035503,79.0,5.0,79.0,6.0,84.0,85.0
80,0.9763313609467456,0.9879518072289156,0.9647058823529412,0.9761904761904762,82.0,3.0,83.0,1.0,85.0,84.0
99,0.9526627218934911,0.9425287356321839,0.9647058823529412,0.9534883720930233,82.0,3.0,79.0,5.0,85.0,84.0
11,0.9526627218934911,0.9230769230769231,0.9882352941176471,0.9545454545454546,84.0,1.0,77.0,7.0,85.0,84.0
32,0.9822485207100592,0.9880952380952381,0.9764705882352941,0.9822485207100592,83.0,2.0,83.0,1.0,85.0,84.0
15,0.9585798816568047,0.963855421686747,0.9523809523809523,0.9580838323353293,80.0,4.0,82.0,3.0,84.0,85.0
19,0.9763313609467456,0.9879518072289156,0.9647058823529412,0.9761904761904762,82.0,3.0,83.0,1.0,85.0,84.0
44,0.9940828402366864,0.9882352941176471,1.0,0.9940828402366864,84.0,0.0,84.0,1.0,84.0,85.0
66,0.9763313609467456,0.9878048780487805,0.9642857142857143,0.9759036144578314,81.0,3.0,84.0,1.0,84.0,85.0
45,0.9644970414201184,0.9759036144578314,0.9529411764705882,0.9642857142857143,81.0,4.0,82.0,2.0,85.0,84.0
33,0.9467455621301775,0.9411764705882353,0.9523809523809523,0.9467455621301775,80.0,4.0,80.0,5.0,84.0,85.0
666,0.9408284023668639,0.9743589743589743,0.9047619047619048,0.9382716049382716,76.0,8.0,83.0,2.0,84.0,85.0
23,0.9763313609467456,0.9550561797752809,1.0,0.9770114942528736,85.0,0.0,80.0,4.0,85.0,84.0
98,0.9585798816568047,0.9425287356321839,0.9761904761904762,0.9590643274853801,82.0,2.0,80.0,5.0,84.0,85.0
90,0.9881656804733728,0.9770114942528736,1.0,0.9883720930232558,85.0,0.0,82.0,2.0,85.0,84.0
MÉDIA,0.9644970414201183,0.9644649392393893,0.9650910364145657,0.9645281082434984,81.65,2.95,81.35,3.05,84.6,84.4
TOTAL,19.289940828402365,19.289298784787785,19.301820728291315,19.290562164869968,1633.0,59.0,1627.0,61.0,1692.0,1688.0
