Seed,Acurácia,Precisão,Recall,F1-Score,TP,FP,TN,FN,Suporte(P),Suporte(N)
1,0.9526627218934911,0.9753086419753086,0.9294117647058824,0.9518072289156626,79.0,6.0,82.0,2.0,85.0,84.0
42,0.9763313609467456,0.9878048780487805,0.9642857142857143,0.9759036144578314,81.0,3.0,84.0,1.0,84.0,85.0
30,0.9526627218934911,0.9425287356321839,0.9647058823529412,0.9534883720930233,82.0,3.0,79.0,5.0,85.0,84.0
55,0.9822485207100592,0.9767441860465116,0.9882352941176471,0.9824561403508771,84.0,1.0,82.0,2.0,85.0,84.0
60,0.9526627218934911,0.9325842696629213,0.9764705882352941,0.9540229885057471,83.0,2.0,78.0,6.0,85.0,84.0
70,0.9467455621301775,0.9411764705882353,0.9523809523809523,0.9467455621301775,80.0,4.0,80.0,5.0,84.0,85.0
80,0.9940828402366864,0.9883720930232558,1.0,0.9941520467836257,85.0,0.0,83.0,1.0,85.0,84.0
99,0.9644970414201184,0.9876543209876543,0.9411764705882353,0.963855421686747,80.0,5.0,83.0,1.0,85.0,84.0
11,0.9704142011834319,0.9545454545454546,0.9882352941176471,0.9710982658959537,84.0,1.0,80.0,4.0,85.0,84.0
32,0.9585798816568047,0.975609756097561,0.9411764705882353,0.9580838323353293,80.0,5.0,82.0,2.0,85.0,84.0
15,0.9822485207100592,0.9879518072289156,0.9761904761904762,0.9820359281437125,82.0,2.0,84.0,1.0,84.0,85.0
19,0.9822485207100592,1.0,0.9647058823529412,0.9820359281437125,82.0,3.0,84.0,0.0,85.0,84.0
44,0.9704142011834319,0.9876543209876543,0.9523809523809523,0.9696969696969697,80.0,4.0,84.0,1.0,84.0,85.0
66,0.9881656804733728,0.9767441860465116,1.0,0.9882352941176471,84.0,0.0,83.0,2.0,84.0,85.0
45,0.9822485207100592,0.9880952380952381,0.9764705882352941,0.9822485207100592,83.0,2.0,83.0,1.0,85.0,84.0
33,0.9644970414201184,0.9642857142857143,0.9642857142857143,0.9642857142857143,81.0,3.0,82.0,3.0,84.0,85.0
666,0.9704142011834319,0.9876543209876543,0.9523809523809523,0.9696969696969697,80.0,4.0,84.0,1.0,84.0,85.0
23,0.9704142011834319,0.9651162790697675,0.9764705882352941,0.9707602339181286,83.0,2.0,81.0,3.0,85.0,84.0
98,0.9585798816568047,0.9529411764705882,0.9642857142857143,0.9585798816568047,81.0,3.0,81.0,4.0,84.0,85.0
90,0.9704142011834319,0.9651162790697675,0.9764705882352941,0.9707602339181286,83.0,2.0,81.0,3.0,85.0,84.0
MÉDIA,0.9695266272189347,0.9718944064424839,0.9674859943977591,0.969497457372141,81.85,2.75,82.0,2.4,84.6,84.4
TOTAL,19.390532544378694,19.43788812884968,19.34971988795518,19.38994914744282,1637.0,55.0,1640.0,48.0,1692.0,1688.0
