Seed,Acurácia,Precisão,Recall,F1-Score,TP,FP,TN,FN,Suporte(P),Suporte(N)
1,0.9289940828402367,0.9620253164556962,0.8941176470588236,0.926829268292683,76.0,9.0,81.0,3.0,85.0,84.0
42,0.9704142011834319,0.9759036144578314,0.9642857142857143,0.9700598802395209,81.0,3.0,83.0,2.0,84.0,85.0
30,0.9349112426035503,0.9204545454545454,0.9529411764705882,0.9364161849710982,81.0,4.0,77.0,7.0,85.0,84.0
55,0.9704142011834319,0.9545454545454546,0.9882352941176471,0.9710982658959537,84.0,1.0,80.0,4.0,85.0,84.0
60,0.9585798816568047,0.9534883720930233,0.9647058823529412,0.9590643274853801,82.0,3.0,80.0,4.0,85.0,84.0
70,0.8994082840236687,0.9036144578313253,0.8928571428571429,0.8982035928143712,75.0,9.0,77.0,8.0,84.0,85.0
80,0.9526627218934911,0.9425287356321839,0.9647058823529412,0.9534883720930233,82.0,3.0,79.0,5.0,85.0,84.0
99,0.9349112426035503,0.9404761904761905,0.9294117647058824,0.9349112426035503,79.0,6.0,79.0,5.0,85.0,84.0
11,0.9230769230769231,0.9285714285714286,0.9176470588235294,0.9230769230769231,78.0,7.0,78.0,6.0,85.0,84.0
32,0.9704142011834319,0.9545454545454546,0.9882352941176471,0.9710982658959537,84.0,1.0,80.0,4.0,85.0,84.0
15,0.9349112426035503,0.9195402298850575,0.9523809523809523,0.935672514619883,80.0,4.0,78.0,7.0,84.0,85.0
19,0.9408284023668639,0.9411764705882353,0.9411764705882353,0.9411764705882353,80.0,5.0,79.0,5.0,85.0,84.0
44,0.9822485207100592,0.9655172413793104,1.0,0.9824561403508771,84.0,0.0,82.0,3.0,84.0,85.0
66,0.9644970414201184,0.9642857142857143,0.9642857142857143,0.9642857142857143,81.0,3.0,82.0,3.0,84.0,85.0
45,0.9526627218934911,0.963855421686747,0.9411764705882353,0.9523809523809523,80.0,5.0,81.0,3.0,85.0,84.0
33,0.9644970414201184,0.9333333333333333,1.0,0.9655172413793104,84.0,0.0,79.0,6.0,84.0,85.0
666,0.9585798816568047,0.963855421686747,0.9523809523809523,0.9580838323353293,80.0,4.0,82.0,3.0,84.0,85.0
23,0.9467455621301775,0.9042553191489362,1.0,0.9497206703910615,85.0,0.0,75.0,9.0,85.0,84.0
98,0.9585798816568047,0.9230769230769231,1.0,0.96,84.0,0.0,78.0,7.0,84.0,85.0
90,0.9763313609467456,0.9655172413793104,0.9882352941176471,0.9767441860465116,84.0,1.0,81.0,3.0,85.0,84.0
MÉDIA,0.9511834319526628,0.9440283443256725,0.9598389355742297,0.9515142022873168,81.2,3.4,79.55,4.85,84.6,84.4
TOTAL,19.023668639053255,18.88056688651345,19.196778711484594,19.030284045746335,1624.0,68.0,1591.0,97.0,1692.0,1688.0
