Seed,Acurácia,Precisão,Recall,F1-Score,TP,FP,TN,FN,Suporte(P),Suporte(N)
1,0.9408284023668639,0.9746835443037974,0.9058823529411765,0.9390243902439024,77.0,8.0,82.0,2.0,85.0,84.0
42,0.9704142011834319,0.9647058823529412,0.9761904761904762,0.9704142011834319,82.0,2.0,82.0,3.0,84.0,85.0
30,0.9467455621301775,0.9523809523809523,0.9411764705882353,0.9467455621301775,80.0,5.0,80.0,4.0,85.0,84.0
55,0.9644970414201184,0.9647058823529412,0.9647058823529412,0.9647058823529412,82.0,3.0,81.0,3.0,85.0,84.0
60,0.9349112426035503,0.9111111111111111,0.9647058823529412,0.9371428571428572,82.0,3.0,76.0,8.0,85.0,84.0
70,0.9171597633136095,0.9069767441860465,0.9285714285714286,0.9176470588235294,78.0,6.0,77.0,8.0,84.0,85.0
80,0.9644970414201184,0.9647058823529412,0.9647058823529412,0.9647058823529412,82.0,3.0,81.0,3.0,85.0,84.0
99,0.9585798816568047,0.9534883720930233,0.9647058823529412,0.9590643274853801,82.0,3.0,80.0,4.0,85.0,84.0
11,0.9349112426035503,0.9204545454545454,0.9529411764705882,0.9364161849710982,81.0,4.0,77.0,7.0,85.0,84.0
32,0.9644970414201184,0.9759036144578314,0.9529411764705882,0.9642857142857143,81.0,4.0,82.0,2.0,85.0,84.0
15,0.9644970414201184,0.9534883720930233,0.9761904761904762,0.9647058823529412,82.0,2.0,81.0,4.0,84.0,85.0
19,0.9881656804733728,0.9770114942528736,1.0,0.9883720930232558,85.0,0.0,82.0,2.0,85.0,84.0
44,0.9704142011834319,0.9647058823529412,0.9761904761904762,0.9704142011834319,82.0,2.0,82.0,3.0,84.0,85.0
66,0.9704142011834319,0.9759036144578314,0.9642857142857143,0.9700598802395209,81.0,3.0,83.0,2.0,84.0,85.0
45,0.9763313609467456,0.9879518072289156,0.9647058823529412,0.9761904761904762,82.0,3.0,83.0,1.0,85.0,84.0
33,0.9467455621301775,0.9411764705882353,0.9523809523809523,0.9467455621301775,80.0,4.0,80.0,5.0,84.0,85.0
666,0.9408284023668639,0.9743589743589743,0.9047619047619048,0.9382716049382716,76.0,8.0,83.0,2.0,84.0,85.0
23,0.9585798816568047,0.9239130434782609,1.0,0.96045197740113,85.0,0.0,77.0,7.0,85.0,84.0
98,0.9585798816568047,0.9325842696629213,0.9880952380952381,0.9595375722543352,83.0,1.0,79.0,6.0,84.0,85.0
90,0.9763313609467456,0.9764705882352941,0.9764705882352941,0.9764705882352941,83.0,2.0,82.0,2.0,85.0,84.0
MÉDIA,0.957396449704142,0.9548340523877702,0.9609803921568627,0.9575685949460404,81.3,3.3,80.5,3.9,84.6,84.4
TOTAL,19.14792899408284,19.096681047755403,19.219607843137254,19.151371898920807,1626.0,66.0,1610.0,78.0,1692.0,1688.0
