Seed,Acurácia,Precisão,Recall,F1-Score,TP,FP,TN,FN,Suporte(P),Suporte(N)
1,0.9408284023668639,0.9746835443037974,0.9058823529411765,0.9390243902439024,77.0,8.0,82.0,2.0,85.0,84.0
42,0.9763313609467456,0.9761904761904762,0.9761904761904762,0.9761904761904762,82.0,2.0,83.0,2.0,84.0,85.0
30,0.9526627218934911,0.9529411764705882,0.9529411764705882,0.9529411764705882,81.0,4.0,80.0,4.0,85.0,84.0
55,0.9704142011834319,0.9651162790697675,0.9764705882352941,0.9707602339181286,83.0,2.0,81.0,3.0,85.0,84.0
60,0.9526627218934911,0.9325842696629213,0.9764705882352941,0.9540229885057471,83.0,2.0,78.0,6.0,85.0,84.0
70,0.9289940828402367,0.9186046511627907,0.9404761904761905,0.9294117647058824,79.0,5.0,78.0,7.0,84.0,85.0
80,0.9763313609467456,0.9879518072289156,0.9647058823529412,0.9761904761904762,82.0,3.0,83.0,1.0,85.0,84.0
99,0.9349112426035503,0.9404761904761905,0.9294117647058824,0.9349112426035503,79.0,6.0,79.0,5.0,85.0,84.0
11,0.9467455621301775,0.9418604651162791,0.9529411764705882,0.9473684210526315,81.0,4.0,79.0,5.0,85.0,84.0
32,0.9585798816568047,0.9875,0.9294117647058824,0.9575757575757575,79.0,6.0,83.0,1.0,85.0,84.0
15,0.9644970414201184,0.9642857142857143,0.9642857142857143,0.9642857142857143,81.0,3.0,82.0,3.0,84.0,85.0
19,0.9881656804733728,0.9770114942528736,1.0,0.9883720930232558,85.0,0.0,82.0,2.0,85.0,84.0
44,0.9704142011834319,0.9759036144578314,0.9642857142857143,0.9700598802395209,81.0,3.0,83.0,2.0,84.0,85.0
66,0.9881656804733728,0.9767441860465116,1.0,0.9882352941176471,84.0,0.0,83.0,2.0,84.0,85.0
45,0.9763313609467456,0.9879518072289156,0.9647058823529412,0.9761904761904762,82.0,3.0,83.0,1.0,85.0,84.0
33,0.9585798816568047,0.9529411764705882,0.9642857142857143,0.9585798816568047,81.0,3.0,81.0,4.0,84.0,85.0
666,0.9526627218934911,0.975,0.9285714285714286,0.9512195121951219,78.0,6.0,83.0,2.0,84.0,85.0
23,0.9408284023668639,0.9213483146067416,0.9647058823529412,0.9425287356321839,82.0,3.0,77.0,7.0,85.0,84.0
98,0.9704142011834319,0.9540229885057471,0.9880952380952381,0.9707602339181286,83.0,1.0,81.0,4.0,84.0,85.0
90,0.9644970414201184,0.9759036144578314,0.9529411764705882,0.9642857142857143,81.0,4.0,82.0,2.0,85.0,84.0
MÉDIA,0.9606508875739644,0.9619510884997242,0.9598389355742297,0.9606457231500853,81.2,3.4,81.15,3.25,84.6,84.4
TOTAL,19.21301775147929,19.239021769994483,19.196778711484594,19.212914463001706,1624.0,68.0,1623.0,65.0,1692.0,1688.0
