Seed,Acurácia,Precisão,Recall,F1-Score,TP,FP,TN,FN,Suporte(P),Suporte(N)
1,0.9230769230769231,0.95,0.8941176470588236,0.9212121212121213,76.0,9.0,80.0,4.0,85.0,84.0
42,0.9704142011834319,0.9759036144578314,0.9642857142857143,0.9700598802395209,81.0,3.0,83.0,2.0,84.0,85.0
30,0.9467455621301775,0.9418604651162791,0.9529411764705882,0.9473684210526315,81.0,4.0,79.0,5.0,85.0,84.0
55,0.9585798816568047,0.9333333333333333,0.9882352941176471,0.96,84.0,1.0,78.0,6.0,85.0,84.0
60,0.9289940828402367,0.9101123595505618,0.9529411764705882,0.9310344827586207,81.0,4.0,76.0,8.0,85.0,84.0
70,0.9171597633136095,0.9166666666666666,0.9166666666666666,0.9166666666666666,77.0,7.0,78.0,7.0,84.0,85.0
80,0.9644970414201184,0.9647058823529412,0.9647058823529412,0.9647058823529412,82.0,3.0,81.0,3.0,85.0,84.0
99,0.9467455621301775,0.9318181818181818,0.9647058823529412,0.9479768786127167,82.0,3.0,78.0,6.0,85.0,84.0
11,0.9408284023668639,0.9310344827586207,0.9529411764705882,0.9418604651162791,81.0,4.0,78.0,6.0,85.0,84.0
32,0.9526627218934911,0.963855421686747,0.9411764705882353,0.9523809523809523,80.0,5.0,81.0,3.0,85.0,84.0
15,0.9526627218934911,0.9523809523809523,0.9523809523809523,0.9523809523809523,80.0,4.0,81.0,4.0,84.0,85.0
19,0.9881656804733728,0.9770114942528736,1.0,0.9883720930232558,85.0,0.0,82.0,2.0,85.0,84.0
44,0.9763313609467456,0.9651162790697675,0.9880952380952381,0.9764705882352941,83.0,1.0,82.0,3.0,84.0,85.0
66,0.9467455621301775,0.9629629629629629,0.9285714285714286,0.9454545454545454,78.0,6.0,82.0,3.0,84.0,85.0
45,0.9585798816568047,0.9642857142857143,0.9529411764705882,0.9585798816568047,81.0,4.0,81.0,3.0,85.0,84.0
33,0.9289940828402367,0.9285714285714286,0.9285714285714286,0.9285714285714286,78.0,6.0,79.0,6.0,84.0,85.0
666,0.9585798816568047,0.9529411764705882,0.9642857142857143,0.9585798816568047,81.0,3.0,81.0,4.0,84.0,85.0
23,0.9289940828402367,0.9010989010989011,0.9647058823529412,0.9318181818181818,82.0,3.0,75.0,9.0,85.0,84.0
98,0.9644970414201184,0.9534883720930233,0.9761904761904762,0.9647058823529412,82.0,2.0,81.0,4.0,84.0,85.0
90,0.9822485207100592,0.9767441860465116,0.9882352941176471,0.9824561403508771,84.0,1.0,82.0,2.0,85.0,84.0
MÉDIA,0.951775147928994,0.9476945937486942,0.9568347338935574,0.9520327662946769,80.95,3.65,79.9,4.5,84.6,84.4
TOTAL,19.03550295857988,18.953891874973884,19.136694677871148,19.04065532589354,1619.0,73.0,1598.0,90.0,1692.0,1688.0
